
Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.8276,0.8915,0
1,0.9338,0.8876,1
2,0.9503,0.9349,1
3,0.9652,0.9432,1
4,0.9663,0.9444,2
5,0.9710,0.9510,2
6,0.9704,0.9499,2
7,0.9723,0.9432,2
8,0.9770,0.9466,3
9,0.9775,0.9277,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.8221,0.9126,0
1,0.9375,0.9048,1
2,0.9550,0.9505,1
3,0.9595,0.9215,1
4,0.9668,0.9338,2
5,0.9681,0.9410,2
6,0.9715,0.9477,2
7,0.9746,0.9288,3
8,0.9733,0.9399,3
9,0.9762,0.9438,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.8198,0.8932,0
1,0.9380,0.9327,1
2,0.9500,0.9310,1
3,0.9584,0.9410,1
4,0.9631,0.9265,1
5,0.9702,0.9210,2
6,0.9683,0.9354,2
7,0.9749,0.9071,2
8,0.9712,0.9071,3
9,0.9799,0.9360,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.8198,0.8932,1
1,0.9380,0.9327,1
2,0.9500,0.9310,1
3,0.9584,0.9410,2
4,0.9631,0.9265,2
5,0.9702,0.9210,2
6,0.9683,0.9354,2
7,0.9749,0.9071,3
8,0.9712,0.9071,3
9,0.9799,0.9360,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4685,0.6327,1
1,0.7196,0.7457,1
2,0.7580,0.8325,1
3,0.8342,0.8292,2
4,0.8496,0.8436,2
5,0.8538,0.8375,2
6,0.8572,0.8453,2
7,0.8582,0.8492,3
8,0.8598,0.8492,3
9,0.8645,0.8520,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4685,0.6327,0
1,0.7196,0.7457,0
2,0.7580,0.8325,0
3,0.8342,0.8292,1
4,0.8496,0.8436,1
5,0.8538,0.8375,1
6,0.8572,0.8453,2
7,0.8582,0.8492,2
8,0.8598,0.8492,2
9,0.8645,0.8520,2

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4685,0.6327,0
1,0.7196,0.7457,0
2,0.7580,0.8325,0
3,0.8342,0.8292,1
4,0.8496,0.8436,1
5,0.8538,0.8375,1
6,0.8572,0.8453,2
7,0.8582,0.8492,2
8,0.8598,0.8492,2
9,0.8645,0.8520,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4685,0.6327,1
1,0.7196,0.7457,1
2,0.7580,0.8325,1
3,0.8342,0.8292,2
4,0.8496,0.8436,2
5,0.8538,0.8375,2
6,0.8572,0.8453,2
7,0.8582,0.8492,3
8,0.8598,0.8492,3
9,0.8645,0.8520,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4682,0.6494,1
1,0.7387,0.7863,1
2,0.8274,0.8158,1
3,0.8365,0.8214,2
4,0.8386,0.8342,2
5,0.8446,0.8331,2
6,0.8472,0.8370,3
7,0.8535,0.8447,3
8,0.8590,0.8459,3
9,0.8627,0.8447,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4685,0.6327,0
1,0.7196,0.7457,0
2,0.7580,0.8325,1
3,0.8342,0.8292,1
4,0.8496,0.8436,1
5,0.8538,0.8375,1
6,0.8572,0.8453,2
7,0.8582,0.8492,2
8,0.8598,0.8492,2
9,0.8645,0.8520,3

Epoc,TrainAcc,TestAcc,Time,TraLoss,TesLoss
0,0.4593,0.6233,0
1,0.7138,0.7412,1
2,0.7510,0.7590,1
3,0.8247,0.8253,1
4,0.8491,0.8453,2
5,0.8525,0.8370,2
6,0.8567,0.8442,2
7,0.8587,0.8492,3
8,0.8587,0.8492,3
9,0.8637,0.8492,3
